,successful_utilization
0,0.006090129952826498
1,0.0007762229824391648
2,0.044565527547210215
3,0.01791673025562175
4,0.027958809855560443
5,0.028625400630497067
6,0.06668427296525256
7,0.006731002488545114
8,0.049165875991438304
9,0.07102623583115626
10,-0.03385432497316762
11,0.0350553282723233
12,0.023503135619997492
13,0.056958231896583805
14,0.028215214708908087
15,0.0048648034804296275
16,0.03138305717236485
17,0.0018153569354158808
18,0.007636407856899841
19,0.0010981021205501984
20,0.011365608428594486
21,0.07630646969704118
22,0.01404362656357315
23,0.036420705692355976
24,0.06376487679231863
25,0.00320423084765651
26,0.006199891251666992
27,0.02058296433221235
28,0.018265137388185193
29,0.034637565500273956
30,0.0021213016614446967
31,0.015118955470561385
32,0.005703044083134032
33,0.002820290593196967
34,0.07638760875648279
35,0.004913194842602865
36,0.02229398130262518
37,0.017492638851754255
38,0.010404562002317194
39,0.036544573791398915
40,0.05793758241651774
41,0.03526370770281008
42,0.012191990560989359
43,0.04420121050248657
44,0.028573588266899
45,0.0375041660130289
46,0.06293314129582193
47,0.055351561492481424
48,0.0068439659441904485
49,0.0313945640633535
50,0.005001114523510521
51,0.023503219647666107
52,0.026019954483822993
53,0.008603048751545384
54,0.0031737051290396737
55,0.06673184450452582
56,0.005780054948712962
57,0.03928175626446735
58,0.010173100470364467
59,0.007484746442112479
60,0.0384796042679605
61,0.09206085758701571
62,0.012721273180813703
63,0.009704210790458627
64,0.05481503165408
65,0.013614340800236838
66,0.009731635248117196
67,0.015104104931776802
68,0.03540736238126595
69,0.02089266600336917
70,0.038401912214898
71,0.14359287970336929
72,0.006265366737938011
73,0.03541145637531343
74,0.03449388431088962
75,0.012060396813471305
76,0.014550946142117244
77,0.016548094596846905
78,0.01917383309669833
79,0.027696640876297474
80,0.023859534106492247
81,0.04011759670903478
82,0.01056042700598759
83,0.006400321183740662
84,0.022982393830711566
85,0.014605704706751085
86,0.02211096578887238
87,0.023125329169876932
88,0.013523839858536349
89,0.006245402549680604
90,0.015394019629591249
91,0.01668901029659943
92,0.014965494308988914
93,0.049427557553837265
94,0.04452542328491502
95,0.04326004933007391
96,0.011216043040595744
97,0.022126385647179156
98,0.00780579665990655
99,0.0406052558333547
100,0.07578050305272602
101,0.09666763753406732
102,0.03802580074606132
103,0.03349285045232314
104,0.010926319605972748
105,0.009404476017011797
106,0.009737811597608906
107,0.0019446128355233155
108,0.05430585214432693
109,0.06651437602179291
110,0.048524115913088
